,quicksort,mergesort,heapsort
0,0.0017097000000205753,0.0010570000000029722,0.0035367000000121607
1,0.001485000000002401,0.0009576000000208751,0.003479300000009289
2,0.0016063000000201555,0.0009633999999891785,0.0034686000000192507
3,0.0013069000000029973,0.0009467999999799304,0.0035621000000105596
4,0.0017926999999815507,0.0009332000000199514,0.0035883000000183074
5,0.001259900000007974,0.0009450999999955911,0.00349009999999339
6,0.001278000000013435,0.0009288999999910175,0.003473600000006627
7,0.0012361999999939144,0.000948500000021113,0.0034919999999942775
8,0.0013142999999899985,0.0009384999999895172,0.003797099999985676
9,0.0012839000000042233,0.0009220999999968171,0.003471300000001065
10,0.0012639999999919382,0.0009421000000031654,0.003487599999999702
11,0.0012617000000147982,0.0009338000000127522,0.003457799999978306
12,0.0012239000000136002,0.0009346999999877426,0.0034762999999884414
13,0.0012387999999816657,0.0009368999999992411,0.0035521000000073855
14,0.00122870000001285,0.0009455000000002656,0.0034546000000261756
15,0.0012289000000009764,0.0009279999999876054,0.003471799999999803
16,0.001218599999987191,0.0009347999999818057,0.0034762999999884414
17,0.0012423000000012507,0.0009484999999926913,0.0035864999999830616
18,0.0016585999999847445,0.0009200000000078035,0.003617600000012544
19,0.001219600000013088,0.0009541999999953532,0.003771099999994476
20,0.0012352999999905023,0.0009333000000140146,0.004455100000001266
21,0.0012411000000156491,0.0009551999999928285,0.004288000000002512
22,0.0012161999999875661,0.0009397999999976037,0.0036306999999737855
23,0.0013907999999958065,0.0012252999999873282,0.0036066000000118947
24,0.0012428999999940515,0.000953899999984742,0.0038815000000056443
25,0.00121689999997443,0.0009322999999881176,0.0035240999999928135
26,0.0014536999999847922,0.0009412999999938165,0.0035220000000038
27,0.0012748000000044613,0.000918699999999717,0.0034778999999787175
28,0.0017215000000021519,0.0014295000000004165,0.003479499999997415
29,0.0017756999999960499,0.0013624000000049818,0.003532599999999775
30,0.0015485000000126092,0.0009795999999937521,0.00347259999998073
31,0.0013496999999915715,0.0009849000000201613,0.0036414999999863085
32,0.001266500000014048,0.0009381000000132644,0.0034534000000121523
33,0.0012704999999755273,0.0012499000000048,0.0036226999999939835
34,0.0012646000000131608,0.0010141999999859763,0.003549300000003086
35,0.0012389000000041506,0.0009824999999921147,0.003444999999999254
36,0.0012314999999887277,0.0009354999999970914,0.003492399999998952
37,0.001239099999992277,0.0009420000000091022,0.0034731000000078893
38,0.0012337000000002263,0.0009685999999931028,0.0034533999999837306
39,0.001324000000010983,0.0009298999999884927,0.0036269000000004326
40,0.001222900000016125,0.0009330000000034033,0.0035404999999855136
41,0.0012243000000182747,0.0009428000000184511,0.003469600000016726
42,0.0012495999999941887,0.0009276999999769941,0.0034764000000109263
43,0.0012181000000168751,0.0009524999999825923,0.0034720999999819924
44,0.001237599999996064,0.0009153000000026168,0.003583700000007184
45,0.0012279000000035012,0.0010039999999946758,0.0034835999999813794
46,0.0012231000000042513,0.000943299999988767,0.00347849999999994
47,0.0012292000000115877,0.0009332999999855929,0.003462799999994104
48,0.001660900000018728,0.0009908000000109496,0.0034780000000012024
49,0.0012155999999947653,0.0009798999999759417,0.0035615999999834003
50,0.0012863999999979114,0.0009573000000102638,0.0034637000000259377
51,0.0012575000000083492,0.0009306999999978416,0.0035784000000091964
