,quicksort,mergesort,heapsort
0,0.04721790000007786,0.047348000000056345,0.046965400000090085
1,0.0470268000001397,0.04777250000006461,0.05723450000004959
2,0.04751230000010764,0.04741949999993267,0.04830979999996998
3,0.047354000000041196,0.049344799999971656,0.046726399999897694
4,0.0626331000000846,0.04731990000004771,0.05586199999993369
5,0.04735559999994621,0.047528999999940424,0.05134320000001935
6,0.04771489999984624,0.060606300000017654,0.04710339999996904
7,0.06011069999999563,0.047041100000114966,0.04676999999992404
8,0.04652360000000044,0.047083600000178194,0.05782169999997677
9,0.047005399999989095,0.05510449999997036,0.0466111999999157
10,0.04920859999992899,0.04716849999999795,0.04721180000001368
11,0.04655219999995097,0.046806600000081744,0.04624570000009953
12,0.04768360000002758,0.04727279999997336,0.04717519999985598
13,0.047110500000144384,0.04762970000001587,0.04665520000003198
14,0.04635110000003806,0.048499399999855086,0.05927860000019791
15,0.046255500000143,0.04666850000012346,0.048372400000062044
16,0.04677089999995587,0.04656230000000505,0.046291899999914676
17,0.06112499999994725,0.04697129999999561,0.054298000000017055
18,0.046777199999951335,0.04749790000005305,0.04622730000005504
19,0.04686940000010509,0.05928500000004533,0.04655549999984032
20,0.05453579999993963,0.04700860000002649,0.04682990000014797
21,0.046215700000175275,0.047409900000047855,0.05002339999987271
22,0.04667169999993348,0.05547230000001946,0.046644000000014785
23,0.04715999999984888,0.04728820000013911,0.046710899999879985
24,0.04638580000005277,0.04673060000004625,0.047383999999965454
25,0.04663940000000366,0.04771559999994679,0.046998999999914304
26,0.0480976000001192,0.04807920000007471,0.046881600000006074
27,0.04825119999986782,0.046295599999893966,0.05573709999998755
28,0.04735230000005686,0.04650679999986096,0.046770300000162024
29,0.04771320000008927,0.04672000000005028,0.046733200000062425
30,0.06180580000000191,0.04762340000002041,0.05558249999990039
31,0.046893700000055105,0.047270300000036514,0.0475343000000521
32,0.04682749999983571,0.06043530000010833,0.04736539999998968
33,0.04960590000018783,0.04819720000000416,0.04655330000014146
34,0.04668889999993553,0.047039200000199344,0.05153870000003735
35,0.04693999999994958,0.055670700000064244,0.046659800000043106
36,0.04827880000016194,0.04765500000007705,0.04662749999988591
37,0.047675599999820406,0.04700449999995726,0.04667909999989206
38,0.04769239999995989,0.04697929999997541,0.04819480000014664
39,0.047800700000152574,0.047801899999967645,0.04774010000005546
40,0.046531899999990856,0.047963100000060876,0.055041599999867685
41,0.04684440000005452,0.05297319999999672,0.047143000000005486
42,0.047466999999869586,0.050920800000085364,0.046509999999898355
43,0.05920990000004167,0.047091300000147385,0.05513680000012755
44,0.04755640000007588,0.04745179999986249,0.04694089999998141
45,0.04700689999981478,0.06082290000017565,0.046892400000160706
46,0.05334560000005695,0.047741199999791206,0.047023600000102306
47,0.04666189999989001,0.04718929999989996,0.05054969999991954
48,0.047308899999961795,0.049058900000090944,0.048430600000074264
49,0.047553000000107204,0.047642500000165455,0.04760450000003402
