,Iteration,Reward,Algorithm
0,0,0.0010434520000000447,quick_sort
1,0,0.000741707999999619,merge_sort
2,0,0.0008152439999999928,heap_sort
3,1,0.0010229259999996287,quick_sort
4,1,0.0007417280000000659,merge_sort
5,1,0.0008109539999995263,heap_sort
6,2,0.0010324320000002275,quick_sort
7,2,0.0007365460000000468,merge_sort
8,2,0.0008108360000000658,heap_sort
9,3,0.0010197319999998911,quick_sort
10,3,0.0007370420000000166,merge_sort
11,3,0.0008448579999999594,heap_sort
12,4,0.0010249020000001252,quick_sort
13,4,0.0007391259999996436,merge_sort
14,4,0.0009149940000003199,heap_sort
15,5,0.001075547999999813,quick_sort
16,5,0.0007672439999997494,merge_sort
17,5,0.0008189579999999808,heap_sort
18,6,0.0010187979999999896,quick_sort
19,6,0.0007594040000002877,merge_sort
20,6,0.0008684340000002066,heap_sort
21,7,0.0010255140000000296,quick_sort
22,7,0.0007314319999999697,merge_sort
23,7,0.0008006199999997676,heap_sort
24,8,0.0010147119999997045,quick_sort
25,8,0.000767585999999838,merge_sort
26,8,0.0008325379999998006,heap_sort
27,9,0.0010266999999996073,quick_sort
28,9,0.0007349240000003477,merge_sort
29,9,0.0008087939999997218,heap_sort
30,10,0.0010172620000000166,quick_sort
31,10,0.0007309280000001905,merge_sort
32,10,0.0008015940000001365,heap_sort
33,11,0.0010130259999999681,quick_sort
34,11,0.0007308439999999905,merge_sort
35,11,0.0008469199999999688,heap_sort
36,12,0.0010252880000001597,quick_sort
37,12,0.0007556480000000932,merge_sort
38,12,0.0008023040000001202,heap_sort
39,13,0.0010227299999998963,quick_sort
40,13,0.0007339400000002171,merge_sort
41,13,0.0008059700000001157,heap_sort
42,14,0.001015423999999996,quick_sort
43,14,0.0007325879999999785,merge_sort
44,14,0.0008043559999993732,heap_sort
45,15,0.001057790000000054,quick_sort
46,15,0.000739894000000092,merge_sort
47,15,0.0008064819999999884,heap_sort
48,16,0.0010156539999999126,quick_sort
49,16,0.0007361579999996338,merge_sort
50,16,0.0008035760000003478,heap_sort
51,17,0.0010180239999998265,quick_sort
52,17,0.0007344299999995485,merge_sort
53,17,0.0008155040000004021,heap_sort
54,18,0.001020227999999861,quick_sort
55,18,0.0007376379999995919,merge_sort
56,18,0.0008075739999999598,heap_sort
57,19,0.0010322000000000742,quick_sort
58,19,0.0007399080000001135,merge_sort
59,19,0.0008034139999995205,heap_sort
60,20,0.0010288920000002123,quick_sort
61,20,0.0007339380000000517,merge_sort
62,20,0.000805830000000185,heap_sort
63,21,0.001021232000000083,quick_sort
64,21,0.000736456000000274,merge_sort
65,21,0.0008040320000002766,heap_sort
66,22,0.0010151560000002035,quick_sort
67,22,0.0007457459999999827,merge_sort
68,22,0.0008038640000001606,heap_sort
69,23,0.0010600540000001502,quick_sort
70,23,0.0007393100000001596,merge_sort
71,23,0.0008053499999999047,heap_sort
72,24,0.0010187079999997906,quick_sort
73,24,0.0007318979999998021,merge_sort
74,24,0.0008064180000002352,heap_sort
75,25,0.001014712000000202,quick_sort
76,25,0.0007368180000002411,merge_sort
77,25,0.0008032460000000441,heap_sort
78,26,0.0010141819999999768,quick_sort
79,26,0.0007341099999996458,merge_sort
80,26,0.0008010740000003835,heap_sort
81,27,0.0010190319999999532,quick_sort
82,27,0.0007331600000003391,merge_sort
83,27,0.0008147199999997668,heap_sort
84,28,0.0010187460000000924,quick_sort
85,28,0.0007338400000002566,merge_sort
86,28,0.0008061400000001129,heap_sort
87,29,0.0010172640000003952,quick_sort
88,29,0.0007330739999999736,merge_sort
89,29,0.0008355859999999637,heap_sort
90,30,0.0010123919999998066,quick_sort
91,30,0.0007313760000000969,merge_sort
92,30,0.0008254680000001713,heap_sort
93,31,0.0010335500000002895,quick_sort
94,31,0.0007373199999997837,merge_sort
95,31,0.0008016520000001748,heap_sort
96,32,0.0010199199999996011,quick_sort
97,32,0.0007355919999994853,merge_sort
98,32,0.000803166000000104,heap_sort
99,33,0.0010216759999998714,quick_sort
100,33,0.0007344019999996476,merge_sort
101,33,0.0008047620000000678,heap_sort
102,34,0.001017435999999563,quick_sort
103,34,0.0007460040000000844,merge_sort
104,34,0.0008045700000000977,heap_sort
105,35,0.0010140299999998347,quick_sort
106,35,0.0007400779999998263,merge_sort
107,35,0.0008113899999998608,heap_sort
108,36,0.0010159599999997227,quick_sort
109,36,0.0007317420000000396,merge_sort
110,36,0.0008188080000003595,heap_sort
111,37,0.0010197440000001023,quick_sort
112,37,0.0007331699999998164,merge_sort
113,37,0.0008029640000000171,heap_sort
114,38,0.0010157540000000154,quick_sort
115,38,0.0007343020000000422,merge_sort
116,38,0.0008316980000000029,heap_sort
117,39,0.0010277819999999593,quick_sort
118,39,0.0007369239999998456,merge_sort
119,39,0.0008028020000000424,heap_sort
120,40,0.0010442440000002762,quick_sort
121,40,0.0007349379999996586,merge_sort
122,40,0.0008056879999997335,heap_sort
123,41,0.0010221199999999441,quick_sort
124,41,0.0007333600000001184,merge_sort
125,41,0.00080728000000029,heap_sort
126,42,0.0010149900000001111,quick_sort
127,42,0.0007340199999999442,merge_sort
128,42,0.0008042260000000567,heap_sort
129,43,0.0010153600000000296,quick_sort
130,43,0.0007370980000002448,merge_sort
131,43,0.0008043239999998519,heap_sort
132,44,0.0010194400000000314,quick_sort
133,44,0.0007352900000001483,merge_sort
134,44,0.0008065719999999033,heap_sort
135,45,0.0010258239999998153,quick_sort
136,45,0.0007348859999999035,merge_sort
137,45,0.0008024680000001183,heap_sort
138,46,0.001018662000000532,quick_sort
