,Iteration,Reward,Algorithm
0,0,0.000741707999999619,merge_sort
1,1,0.0007417280000000659,merge_sort
2,2,0.0007365460000000468,merge_sort
3,3,0.0007370420000000166,merge_sort
4,4,0.0007391259999996436,merge_sort
5,5,0.0007672439999997494,merge_sort
6,6,0.0007594040000002877,merge_sort
7,7,0.0007314319999999697,merge_sort
8,8,0.000767585999999838,merge_sort
9,9,0.0007349240000003477,merge_sort
10,10,0.0007309280000001905,merge_sort
11,11,0.0007308439999999905,merge_sort
12,12,0.0007556480000000932,merge_sort
13,13,0.0007339400000002171,merge_sort
14,14,0.0007325879999999785,merge_sort
15,15,0.000739894000000092,merge_sort
16,16,0.0007361579999996338,merge_sort
17,17,0.0007344299999995485,merge_sort
18,18,0.0007376379999995919,merge_sort
19,19,0.0007399080000001135,merge_sort
20,20,0.0007339380000000517,merge_sort
21,21,0.000736456000000274,merge_sort
22,22,0.0007457459999999827,merge_sort
23,23,0.0007393100000001596,merge_sort
24,24,0.0007318979999998021,merge_sort
25,25,0.0007368180000002411,merge_sort
26,26,0.0007341099999996458,merge_sort
27,27,0.0007331600000003391,merge_sort
28,28,0.0007338400000002566,merge_sort
29,29,0.0007330739999999736,merge_sort
30,30,0.0007313760000000969,merge_sort
31,31,0.0007373199999997837,merge_sort
32,32,0.0007355919999994853,merge_sort
33,33,0.0007344019999996476,merge_sort
34,34,0.0007460040000000844,merge_sort
35,35,0.0007400779999998263,merge_sort
36,36,0.0007317420000000396,merge_sort
37,37,0.0007331699999998164,merge_sort
38,38,0.0007343020000000422,merge_sort
39,39,0.0007369239999998456,merge_sort
40,40,0.0007349379999996586,merge_sort
41,41,0.0007333600000001184,merge_sort
42,42,0.0007340199999999442,merge_sort
43,43,0.0007370980000002448,merge_sort
44,44,0.0007352900000001483,merge_sort
45,45,0.0007348859999999035,merge_sort
46,46,0.0007317559999997769,merge_sort
47,47,0.0007338860000001546,merge_sort
48,48,0.0007336820000000444,merge_sort
49,49,0.0007350359999998801,merge_sort
50,50,0.000730654000000186,merge_sort
51,51,0.0007312040000000764,merge_sort
52,52,0.0007327299999999326,merge_sort
53,53,0.0007313239999998444,merge_sort
54,54,0.0007513699999996249,merge_sort
55,55,0.0007293319999998005,merge_sort
56,56,0.0007363939999999757,merge_sort
57,57,0.000728363999999857,merge_sort
58,58,0.000746657999999698,merge_sort
59,59,0.0007309579999997595,merge_sort
60,60,0.0007324420000001907,merge_sort
61,61,0.0007307999999999737,merge_sort
62,62,0.0007590320000006301,merge_sort
63,63,0.0007301780000000236,merge_sort
64,64,0.0007296039999999948,merge_sort
65,65,0.0007315399999995975,merge_sort
66,66,0.0007313580000000996,merge_sort
67,67,0.0007294880000002025,merge_sort
68,68,0.000732026000000019,merge_sort
